"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-10T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",4.05,"bereinigt"
"2020-01-10T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.49,"bereinigt"
"2020-01-10T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",11.09,"bereinigt"
"2020-01-11T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6,"bereinigt"
"2020-01-11T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",17.93,"bereinigt"
"2020-01-11T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.9,"bereinigt"
"2020-01-11T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",42.97,"bereinigt"
"2020-01-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.72,"bereinigt"
"2020-01-11T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.45,"bereinigt"
"2020-01-11T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",12.52,"bereinigt"
"2020-01-11T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",982.69,"bereinigt"
"2020-01-11T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.87,"bereinigt"
"2020-01-11T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.66,"bereinigt"
"2020-01-11T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",10.95,"bereinigt"
"2020-01-11T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",980.33,"bereinigt"
"2020-01-11T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.51,"bereinigt"
"2020-01-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.24,"bereinigt"
"2020-01-12T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
